node_id,title,subject,published_date,price,level,realSchool,school,Page Rank,community,eigenvector centrality,closness centrality,betweeness centrality,weighted degree,degree,clustering coefficient
n658,Big-Data in Education,Data Analysis & Statistics,05/22/2015,Closed,Intermediate,TeachersCollege,Others,0.003028396,7,0.722662021,0.434173669,0.374989831,78,67,0.428312981
n741,Entrepreneurship and Healthcare in Emerging Economies,Business & Management,05/20/2014,Free,Introductory,Harvard,Harvard,0.002469978,0,0.407577899,0.404699739,0.37410746,53,51,0.49254902
n312,Global Health Case Studies from a Biosocial Perspective,Health & Safety,08/18/2015,Closed,Intermediate,Harvard,Harvard,0.002895895,0,0.445254155,0.421424687,0.33780119,68,61,0.416393443
n703,Applications of Linear Algebra Part 2,Computer Science,09/24/2014,Closed,Intermediate,Davidson,Davidson,0.002515422,7,0.673995051,0.425590335,0.336135715,60,56,0.562337662
n181,AP¢ç Psychology - Part 5: Health and Behavior,Science,01/28/2016,1~50,Intermediate,UBC,UBC,0.002751268,0,0.410582676,0.412453433,0.331785632,68,57,0.442982456
n62,Big-Data for Smart Cities,Computer Science,04/14/2016,1~50,Intermediate,IEEE,IEEE,0.002822132,7,0.695041365,0.427232635,0.327338537,71,62,0.473823374
n81,Implementing Customer Insights for Your Business,Design,03/22/2016,101~200,Introductory,Delft,Delft,0.002459284,1,0.222939883,0.412892914,0.320849381,52,47,0.274745606
n242,Writing Case Studies: Science of Delivery,Social Sciences,10/22/2015,noInfo,Introductory,Princeton,Others,0.00184117,1,0.13965315,0.400103252,0.301487363,34,33,0.21780303
n486,Compliance in Office 365¢ç: Data Governance,Computer Science,01/25/2016,Closed,Advanced,Microsoft,Microsoft,0.002793247,7,0.700277799,0.424192666,0.299430231,69,63,0.481310804
n511,Plasma Physics and Applications,Energy & Earth Sciences,11/04/2015,Closed,Intermediate,EPFL,EPFL,0.001657295,8,0.053621293,0.375848691,0.288627141,23,23,0.209486166
n557,Analyzing Global Trends for Business and Society,Business & Management,10/05/2015,Closed,Intermediate,Wharton,Others,0.002440469,1,0.313499961,0.409836066,0.288129095,49,49,0.322278912
n421,Just Money: Banking as if Society Mattered,Economics & Finance,02/04/2016,1~50,Introductory,MIT,MIT,0.002058406,6,0.173246241,0.400309917,0.28791972,43,38,0.240398293
n724,Critical Issues in Urban Education,Education & Teacher Training,10/06/2014,Closed,Introductory,UChicago,Others,0.001745464,14,0.114446558,0.383094414,0.283148024,32,27,0.230769231
n374,Introduction to R for Data Science,Data Analysis & Statistics,02/29/2016,1~50,Introductory,Microsoft,Microsoft,0.002995942,11,0.825465052,0.424657534,0.280545234,82,72,0.487089202
n362,Introduction to Data Storage and Management Technologies,Computer Science,02/19/2016,Closed,Intermediate,IEEE,IEEE,0.00278927,7,0.716934824,0.423497268,0.280433862,72,64,0.465277778
n528,Learn to Program Using Python,Computer Science,06/02/2015,Closed,Intermediate,UTArlington,Others,0.002206632,11,0.303498935,0.38614848,0.277176854,54,46,0.433816425
n756,Age of Globalization,Business & Management,06/25/2014,Closed,Intermediate,UTAustin,UTAustin,0.002026239,11,0.233508321,0.403645833,0.267914117,42,41,0.434146341
n296,Career Edge: Business and Data Analysis,Business & Management,10/26/2015,1~50,Advanced,Fullbridge,Fullbridge,0.002591658,7,0.669253298,0.415772532,0.263821345,65,57,0.546992481
n693,Medicine in the Digital Age,Medicine,02/11/2015,Closed,Introductory,Rice,Rice,0.002356917,0,0.399487282,0.410269984,0.26271889,56,50,0.536326531
n123,Question Everything: Scientific Thinking in Real Life,Science,03/02/2016,51~100,Introductory,UQ,UQ,0.001765319,8,0.103730099,0.394803872,0.262232211,30,29,0.204433498
n492,AP¢ç Physics 2 - Part 3: Optics and Modern Physics,Physics,08/04/2015,Closed,Intermediate,Rice,Rice,0.002118585,8,0.128234994,0.381397638,0.262210748,54,38,0.473684211
n778,Health in Numbers: Quantitative Methods in Clinical & Public Health Research,Health & Safety,11/13/2013,Free,Introductory,Harvard,Harvard,0.002476905,0,0.413595527,0.411358811,0.258880306,56,52,0.490196078
n687,Introduction to Engineering and Engineering Mathematics,Electronics,08/26/2014,Closed,Intermediate,UTArlington,Others,0.001987227,9,0.052220051,0.365566038,0.258608862,31,31,0.217204301
n680,Becoming a Resilient Person - The Science of Stress Management,Communication,03/27/2015,noInfo,Introductory,UWashington,UWashington,0.00187322,9,0.121795183,0.390231621,0.256810313,32,32,0.221774194
n247,"CLEP Information Systems and Computer Applications, Part 3: Software Development",Computer Science,06/23/2015,1~50,Introductory,UPValencia,UPValencia,0.002303,11,0.243109069,0.405759162,0.252338455,56,47,0.360777058
n605,The Biology of Water and Health - Sustainable Interventions,Biology & Life Sciences,03/31/2015,Closed,Introductory,OEC,OEC,0.002740998,0,0.486442069,0.410269984,0.24932843,63,59,0.419053185
n635,Computation Structures - Part 1: Digital Circuits,Computer Science,08/03/2015,Closed,Intermediate,MIT,MIT,0.001785026,9,0.083294777,0.383663366,0.246830537,35,29,0.325123153
n757,Ideas of the Twentieth Century,Art & Culture,06/25/2014,Closed,Introductory,UTAustin,UTAustin,0.001815363,10,0.039685184,0.365911237,0.244270589,29,26,0.2
n410,Academic and Business Writing,Humanities,07/13/2015,1~50,Introductory,UC Berkeley,UC Berkeley,0.001921372,1,0.104603478,0.37804878,0.243651568,43,34,0.383244207
n565,The Next Generation of Infrastructure,Engineering,08/13/2015,Closed,Introductory,Delft,Delft,0.001846726,9,0.125981203,0.389839034,0.242593823,32,32,0.209677419
n55,Introduction to Cloud Computing,Business & Management,04/07/2016,1~50,Introductory,IEEE,IEEE,0.002224216,9,0.177222298,0.393600813,0.240607139,65,42,0.209059233
n250,Data Science and machine-learning Essentials,Computer Science,11/13/2015,Closed,Advanced,Microsoft,Microsoft,0.002652647,7,0.714866219,0.421653972,0.240229282,65,61,0.507650273
n711,American Capitalism: A History,Business & Management,01/21/2015,Closed,Introductory,Cornell,Cornell,0.001685761,14,0.051351907,0.373314066,0.239415129,26,25,0.243333333
n196,Introduction to Psychology,Philosophy & Ethics,07/21/2015,1~50,Introductory,Tsinghua,Tsinghua,0.001991481,10,0.081372863,0.393800813,0.238873292,51,33,0.270833333
n193,MyCS: Computer Science for Beginners,Computer Science,04/10/2015,Closed,Introductory,HarveyMudd,HarveyMudd,0.002093621,11,0.283623889,0.377496347,0.237495076,53,44,0.513742072
n282,Introduction to Java Programming ? Part 2,Computer Science,12/29/2015,Closed,Introductory,HKUST,HKUST,0.002948991,11,0.824109255,0.422343324,0.237281715,80,71,0.492152918
n653,Statistics for Business ? I,Business & Management,04/23/2015,Closed,Introductory,IIMB,IIMB,0.002791632,7,0.756549581,0.426292629,0.237156716,75,64,0.508928571
n559,AP¢ç Physics 1 - Part 1: Linear Motion,Physics,10/29/2015,Closed,Intermediate,Rice,Rice,0.002011973,8,0.108693598,0.373854317,0.235284633,49,36,0.436507937
n532,Implementing DHCP in Microsoft Windows Server,Computer Science,12/21/2015,Closed,Introductory,Microsoft,Microsoft,0.002145979,9,0.128793332,0.382527147,0.234242456,48,40,0.346153846
n225,The Book: The History of the Book in the 17th and 18th Century Europe,Humanities,07/06/2015,Closed,Introductory,Harvard,Harvard,0.001643262,4,0.052504718,0.368171021,0.234032646,26,26,0.218461538
n2,Analyzing and Visualizing Data with Excel,Data Analysis & Statistics,02/26/2016,1~50,Advanced,Microsoft,Microsoft,0.002222626,7,0.649561362,0.406610703,0.231876611,53,49,0.705782313
n425,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Education & Teacher Training,04/21/2016,51~100,Intermediate,Harvard,Harvard,0.002488274,7,0.712433916,0.424890351,0.230567556,58,57,0.550125313
n588,Super-Earths And Life,Science,08/17/2015,Closed,Introductory,Harvard,Harvard,0.001581736,8,0.049673389,0.367996201,0.22972103,31,22,0.251082251
n249,Data Analysis for Life Sciences 2: Introduction to Linear Models and Matrix Algebra,Biology & Life Sciences,09/02/2015,Closed,Intermediate,Harvard,Harvard,0.002470982,7,0.690949991,0.422804146,0.223842729,73,56,0.573376623
n412,"Digital Marketing, Social Media and E-Commerce for Your Business",Business & Management,02/05/2016,401~500,Introductory,Wharton,Others,0.002083458,1,0.211801295,0.402806653,0.222365149,41,40,0.315384615
n41,Climate Change: The Science,Science,03/18/2016,1~50,Introductory,UBC,UBC,0.001960625,5,0.202311174,0.401554404,0.219123177,47,37,0.327327327
n365,An Introduction to Global Health,Health & Safety,02/06/2014,1~50,Advanced,KI,KI,0.002577373,0,0.420779853,0.408109531,0.217797931,62,54,0.504542278
n552,Computation Structures ? Part 2: Computer Architecture,Computer Science,09/30/2015,Closed,Introductory,MIT,MIT,0.002103676,11,0.190045395,0.401762571,0.21522929,43,41,0.301219512
n615,Foundations of Development Policy: Advanced Development Economics,Economics & Finance,06/26/2015,Closed,Introductory,MIT,MIT,0.002403801,7,0.687267042,0.423034934,0.213710077,55,55,0.579124579
n625,Relics of Chinese History - Part 2: Astronomy and Medicine,Art & Culture,08/19/2015,1~50,Introductory,Tsinghua,Tsinghua,0.001648388,15,0.071331222,0.376762275,0.20960595,31,26,0.363076923
n272,Journalism for Social Change,Communication,10/20/2015,1~50,Introductory,UC Berkeley,UC Berkeley,0.001950298,5,0.150436029,0.398252826,0.209359763,38,35,0.23697479
n722,Applications of Linear Algebra Part 1,Computer Science,09/24/2014,Closed,Intermediate,Davidson,Davidson,0.002269892,7,0.657502985,0.418240691,0.202969834,58,51,0.662745098
n243,Legal Risk Management Strategies for Multinational Enterprises,Law,04/15/2015,201~300,Introductory,BU,BU,0.001494589,6,0.118759375,0.380274779,0.202395229,27,27,0.202279202
n116,Implementation of Data Structures,Computer Science,02/01/2016,1~50,Introductory,IITBombay,IITBombay,0.00288791,11,0.822555078,0.420510038,0.202219446,82,70,0.506832298
n630,AP¢ç Physics 1,Physics,08/25/2015,Closed,Intermediate,BU,BU,0.002302404,8,0.157712163,0.390035229,0.199875207,57,43,0.418604651
n471,Introduction to Management Information Systems (MIS): A Survival Guide,Business & Management,07/27/2015,Closed,Introductory,UC3M,UC3M,0.002108599,11,0.189039478,0.398457584,0.198623212,42,42,0.433217189
n393,"Responsible Innovation: Ethics, Safety and Technology",Ethics,11/09/2015,1~50,Advanced,Delft,Delft,0.0016446,0,0.134615072,0.396419437,0.197840539,31,29,0.194581281
n475,"Networks, Crowds and Markets",Computer Science,01/20/2016,Closed,Introductory,Cornell,Cornell,0.001756108,6,0.103805827,0.393800813,0.197039788,30,30,0.216091954
n67,Supply Chain Design,Business & Management,03/08/2016,101~200,Advanced,MIT,MIT,0.002139177,6,0.136888447,0.385764062,0.195961977,57,40,0.35
n127,Introduction to Financial and Management Accounting,Business & Management,03/31/2016,noInfo,Introductory,ACCA,ACCA,0.002707788,6,0.273076021,0.406824147,0.195869475,75,55,0.365656566
n562,AP¢ç Environmental Science - Part 2: Populations,Environmental Studies,08/04/2015,Closed,Introductory,Rice,Rice,0.001926223,8,0.158045268,0.408755274,0.193721115,56,36,0.346031746
n774,Dynamics,Engineering,11/13/2013,Free,Introductory,MIT,MIT,0.001930791,11,0.154338641,0.391809909,0.193065219,37,37,0.421921922
n569,English for Doing Business in Asia ? Writing,Business & Management,09/23/2015,Closed,Introductory,HKUST,HKUST,0.001969427,1,0.205216962,0.403856175,0.192732432,44,38,0.361308677
n168,Introduction to Marketing Essentials,Business & Management,01/13/2016,51~100,Introductory,IIMB,IIMB,0.001972865,6,0.119221595,0.384997516,0.190240906,37,36,0.333333333
n610,A Global History of Architecture,History,07/28/2015,Closed,Introductory,MIT,MIT,0.001483111,15,0.064575173,0.374939526,0.189924035,24,23,0.300395257
n70,Risk Management Professional Certificate Exam,Economics & Finance,03/07/2016,401~500,Introductory,new-york Institute of Finance,new-york Institute of Finance,0.002185609,6,0.148778364,0.391611925,0.188379299,62,41,0.346341463
n149,"Financial Programming and Policies, Part 2: Program Design",Economics & Finance,04/06/2016,1~50,Intermediate,IMF,IMF,0.001827787,6,0.124270022,0.390428212,0.188252382,37,33,0.399621212
n692,Innovating in Health Care,Business & Management,03/19/2015,Free,Intermediate,Harvard,Harvard,0.002648238,0,0.511174477,0.40961945,0.188248291,67,59,0.476914085
n231,Think. Create. Code,Computer Science,08/27/2015,Closed,Introductory,Adelaide,Adelaide,0.001599801,11,0.092162796,0.384997516,0.186578374,27,27,0.239316239
n654,The Biology of Water and Health ? Fundamentals,Biology & Life Sciences,04/27/2015,Closed,Introductory,OEC,OEC,0.002526752,0,0.474994287,0.403645833,0.185912622,59,55,0.468686869
n478,English for Doing Business in Asia ? Speaking,Business & Management,09/23/2015,Closed,Intermediate,HKUST,HKUST,0.001968612,1,0.207445454,0.401346453,0.185689391,44,38,0.362731152
n322,Religious Literacy: Traditions and Scriptures,Humanities,02/05/2016,1~50,Introductory,Harvard,Harvard,0.00138611,4,0.044322963,0.362488307,0.184988866,22,20,0.352631579
n286,Behavioral Medicine: A Key to Better Health,Biology & Life Sciences,11/13/2015,1~50,Introductory,KI,KI,0.002472079,0,0.404332132,0.399278722,0.182894523,54,52,0.518853695
n27,China (Part 5): From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty,History,03/07/2016,51~100,Intermediate,Harvard,Harvard,0.001733903,15,0.148129855,0.375121007,0.182662386,44,31,0.43655914
n358,Innovation and Competition: Succeeding through Global Standards,Engineering,02/05/2016,Closed,Intermediate,IEEE,IEEE,0.001537008,6,0.06740051,0.383853393,0.181996292,24,24,0.163043478
n545,Will China Rise as a Disruptive Force? The Insiders¡¯ Perspective,Economics & Finance,11/03/2015,Free,Introductory,Tsinghua,Tsinghua,0.001878612,15,0.052974839,0.358133087,0.181790412,31,29,0.300492611
n115,From Atoms to Stars: How Physics Explains Our World,Physics,04/22/2016,1~50,Advanced,MEPhI,Others,0.001909573,8,0.0806733,0.350837483,0.1803962,42,30,0.533333333
n561,AP¢ç Biology - Part 2: Genetics,Biology & Life Sciences,08/04/2015,Closed,Introductory,Rice,Rice,0.002143634,8,0.116886214,0.382527147,0.178502457,64,38,0.388335704
n336,How to Code: Systematic Program Design - Part 1,Computer Science,02/03/2016,1~50,Introductory,UBC,UBC,0.002123436,11,0.2906441,0.398662551,0.175462029,56,45,0.473737374
n712,Introduction to Graphene Science and Technology,Electronics,11/19/2014,Free,Intermediate,Chalmers,Others,0.001843168,8,0.109219946,0.376213592,0.174591565,34,33,0.484848485
n106,Human Anatomy,Biology & Life Sciences,12/04/2015,1~50,Introductory,HKPolyU,HKPolyU,0.001774222,0,0.133800498,0.383283877,0.17302037,33,30,0.271264368
n254,"CLEP Information Systems and Computer Applications, Part 4: Programming",Computer Science,06/23/2015,1~50,Introductory,UPValencia,UPValencia,0.002492394,11,0.337936141,0.398662551,0.172777142,64,54,0.454227813
n417,Introduction to the Music Business,Music,03/21/2016,1~50,Intermediate,Berklee,Others,0.001822192,15,0.179837816,0.390035229,0.172526468,35,34,0.43315508
n93,Data Analysis: Building Your Own Business Dashboard,Data Analysis & Statistics,12/21/2015,51~100,Introductory,Delft,Delft,0.00270047,7,0.752441462,0.425356751,0.171127362,71,63,0.525345622
n141,Solar Energy,Electronics,03/14/2016,1~50,Intermediate,Delft,Delft,0.00169548,8,0.065469948,0.378602833,0.169639071,31,27,0.225071225
n609,Product Design: The Delft Design Approach,Design,04/27/2016,1~50,Introductory,Delft,Delft,0.001481001,6,0.091421365,0.387306347,0.169064245,27,24,0.326086957
n97,CS For All: Introduction to Computer Science and Python Programming,Computer Science,02/01/2016,1~50,Intermediate,HarveyMudd,HarveyMudd,0.002231133,11,0.339665281,0.393201421,0.167671333,60,49,0.454081633
n350,Windows 10 Features for a Mobile Workforce: Identity Management and Data Access,Computer Science,02/17/2016,1~50,Introductory,Microsoft,Microsoft,0.001885633,9,0.09700561,0.371880998,0.166481964,33,32,0.284274194
n773,Health and Society,Health & Safety,11/13/2013,Free,Introductory,Harvard,Harvard,0.002460098,0,0.443711932,0.405546834,0.165997292,53,53,0.5
n525,Death 101: Shaping the Future of Global Health,Biology & Life Sciences,12/09/2015,noInfo,Introductory,University of Toronto,University of Toronto,0.002543166,0,0.497618404,0.407465825,0.165336864,65,56,0.487012987
n446,Sensing Planet Earth ? Water and Ice,Energy & Earth Sciences,11/20/2015,Closed,Intermediate,Chalmers,Others,0.002070623,5,0.194137542,0.382716049,0.164677763,44,38,0.357041252
n604,Strategy and the Sustainable Enterprise,Business & Management,08/07/2015,Closed,Introductory,IIMB,IIMB,0.001672994,5,0.105201491,0.386340977,0.16438345,35,29,0.214285714
n490,A Room with a View by Forster: BerkeleyX Book Club,Humanities,01/15/2015,Closed,Introductory,UC Berkeley,UC Berkeley,0.001978724,4,0.077654017,0.361642557,0.164260099,41,32,0.387096774
n178,Advanced Spark for Data Science and Data Engineering,Data Analysis & Statistics,02/08/2016,51~100,Introductory,UC Berkeley,UC Berkeley,0.002426846,7,0.673356407,0.410922587,0.163791653,58,55,0.6
n767,"Robot Mechanics and Control, Part I",Electronics,02/06/2014,Free,Advanced,SNU,SNU,0.001444931,11,0.060401409,0.367124586,0.163690691,26,23,0.33201581
n491,AP¢ç Environmental Science - Part 3: Pollution and Resources,Environmental Studies,08/04/2015,Closed,Introductory,Rice,Rice,0.001825109,8,0.133661848,0.396014308,0.162591597,52,33,0.376893939
n503,Design and Development of Educational Technology,Education & Teacher Training,12/17/2015,Closed,Intermediate,MIT,MIT,0.001507004,5,0.108787983,0.392802838,0.161570467,27,26,0.276923077
n685,Business and its Environment: An Overview of Business and the Role of Finance in Business,Business & Management,09/08/2014,Closed,Advanced,OEC,OEC,0.001988282,6,0.226145433,0.401554404,0.161314538,44,40,0.464102564
n537,Principles of Synthetic Biology,Biology & Life Sciences,08/18/2015,Closed,Intermediate,MIT,MIT,0.001740022,8,0.076539225,0.369928401,0.159444202,32,29,0.403940887
n512,Readings in Global Health,Health & Safety,11/19/2015,Closed,Advanced,Harvard,Harvard,0.002379933,0,0.430206207,0.405546834,0.158846393,61,51,0.564705882
n644,SharePoint Basics for IT Professionals,Computer Science,07/15/2015,Closed,Intermediate,Microsoft,Microsoft,0.00172753,6,0.138221841,0.387887888,0.155960821,34,32,0.350806452
n407,machine-learning for Data Science and Analytics,Data Analysis & Statistics,03/15/2016,51~100,Introductory,Columbia,Columbia,0.002347959,7,0.672707191,0.409186906,0.155938248,62,53,0.636429608
n92,The History of Medieval Medicine Through Jewish Manuscripts,History,04/19/2016,1~50,Introductory,Penn,Penn,0.001350357,4,0.056483884,0.350837483,0.155921395,23,20,0.247368421
n465,Introduction to Mao Zedong Thought,History,12/23/2015,noInfo,Introductory,Tsinghua,Tsinghua,0.001521651,15,0.050153833,0.357307515,0.155669099,25,24,0.413043478
n434,Basic Mandarin Chinese ? Level 1,Language,03/02/2016,1~50,Introductory,Mandarin,Others,0.001566329,15,0.100784336,0.369399428,0.155174986,29,27,0.373219373
n485,The Conquest of Space: Space Exploration and Rocket Science,Engineering,07/24/2015,Closed,Introductory,UC3M,UC3M,0.001261379,15,0.046593449,0.37134643,0.154700426,20,18,0.281045752
n109,On-Ramp to AP* Physics C: Mechanics,Physics,02/23/2016,1~50,Introductory,Weston High School,Others,0.002035816,8,0.102392842,0.36852116,0.153512054,39,36,0.46031746
n111,Enterprise Software Lifecycle Management,Computer Science,04/19/2016,1~50,Introductory,MEPhI,Others,0.001753071,6,0.146426112,0.394201424,0.153488179,35,33,0.357954545
n156,Smart Cities,Architecture,04/26/2016,1~50,Introductory,ETH,ETH,0.001572614,5,0.085864811,0.376762275,0.153288971,38,26,0.32
n533,Leadership for Engineers,Business & Management,09/14/2015,Closed,Introductory,Delft,Delft,0.00157091,5,0.07168764,0.378973105,0.150358877,31,25,0.233333333
n502,"Cellular Solids 1: Structures, Properties and Engineering Applications",Engineering,11/19/2015,Closed,Introductory,MIT,MIT,0.001486012,10,0.057627809,0.361811391,0.14992072,24,22,0.225108225
n628,"Mechanical Behavior of Materials, Part 1: Linear Elastic Behavior",Engineering,08/04/2015,Closed,Intermediate,MIT,MIT,0.001503509,10,0.093586685,0.37134643,0.149431777,29,25,0.31
n579,Atomic and Optical Physics I ? Part 2: Atomic structure and atoms in external field,Physics,08/31/2015,Closed,Introductory,MIT,MIT,0.001826836,8,0.087247914,0.362149533,0.14916313,45,31,0.509677419
n766,United States Health Policy,Health & Safety,12/20/2013,Closed,Introductory,Harvard,Harvard,0.002200036,0,0.398890389,0.398457584,0.148195275,51,47,0.585568918
n339,Managing Microsoft Windows Server Active Directory Domain Services,Computer Science,02/12/2016,1~50,Introductory,Microsoft,Microsoft,0.001896072,9,0.081912307,0.368171021,0.146663152,45,33,0.304924242
n400,The Analytics Edge,Data Analysis & Statistics,02/22/2016,51~100,Introductory,MIT,MIT,0.001556096,7,0.17931293,0.382527147,0.146528506,30,28,0.272486772
n624,Introduction to XAML and Application Development,Computer Science,07/29/2015,Closed,Introductory,Microsoft,Microsoft,0.001420809,9,0.059121612,0.358796296,0.146272005,29,21,0.39047619
n135,Music Technology Foundations,Music,03/24/2016,noInfo,Advanced,Adelaide,Adelaide,0.001471094,15,0.059292019,0.374939526,0.145693985,26,24,0.369565217
n418,Music Production and Vocal Recording Technology,Engineering,03/21/2016,1~50,Intermediate,Berklee,Others,0.001436388,15,0.080979045,0.376945525,0.142896577,25,23,0.367588933
n220,The Book: Making and Meaning in the Medieval Manuscript,Humanities,07/06/2015,Closed,Intermediate,Harvard,Harvard,0.001686841,4,0.038606218,0.333333333,0.142755846,29,23,0.395256917
n593,Mathematical Modeling in Biology and Life Sciences,Biology & Life Sciences,09/04/2015,Free,Introductory,Peking,Others,0.00121772,8,0.068093037,0.381773399,0.142164068,20,19,0.14619883
n677,Genomic Medicine Gets Personal,Biology & Life Sciences,04/21/2015,Closed,Introductory,Georgetown,Georgetown,0.001577688,0,0.111685624,0.378973105,0.141792233,30,27,0.227920228
n47,Global Social Change,Social Sciences,04/06/2016,1~50,Introductory,Wellesley,Wellesley,0.001873119,5,0.199515188,0.389447236,0.139729234,41,35,0.394957983
n379,Health Professional Teaching Skills ? Level 2 ? Strategies,Education & Teacher Training,02/04/2016,1~50,Introductory,University of Toronto,University of Toronto,0.002328557,0,0.401544648,0.399690562,0.138284968,57,49,0.55952381
n273,Smithsonian¡¯s Objects That Define America,Art & Culture,12/23/2015,1~50,Introductory,Smithsonian,Others,0.001394385,14,0.027959016,0.339465615,0.138147716,21,18,0.37254902
n276,PH556X: Practical Improvement Science in Health Care: A Roadmap for Getting Results,Health & Safety,11/04/2015,Closed,Introductory,Harvard,Harvard,0.002084466,0,0.398812929,0.400723888,0.137709097,54,45,0.633333333
n49,Modern Japanese Architecture: From Meiji Restoration to Today,Architecture,07/23/2015,51~100,Introductory,TokyoTech,Others,0.001158257,5,0.046783825,0.355831038,0.134567543,17,15,0.342857143
n280,Italian Language and Culture: Beginner,Language,12/09/2015,1~50,Introductory,Wellesley,Wellesley,0.001339329,15,0.09150071,0.372596154,0.134151277,28,22,0.333333333
n180,Supply Chain Technology & Systems,Business & Management,03/09/2016,101~200,Introductory,MIT,MIT,0.001964032,6,0.193212465,0.399278722,0.132040909,58,39,0.408906883
n152,Introduction to Water and Climate,Environmental Studies,03/15/2016,1~50,Advanced,Delft,Delft,0.001797129,5,0.097335134,0.366777094,0.131659821,40,30,0.289655172
n699,I Heart Stats: Learning to Love Statistics,Math,12/01/2014,Closed,Introductory,NotreDame,Others,0.002140537,7,0.667230791,0.407037815,0.131224892,60,49,0.730442177
n331,Combinatorial Mathematics,Math,12/23/2015,1~50,Introductory,Tsinghua,Tsinghua,0.001340369,1,0.05534915,0.357637287,0.131032423,23,22,0.341991342
n507,Chinese Thought: Ancient Wisdom Meets Modern Science - Part 1,Art & Culture,12/23/2015,Closed,Introductory,UBC,UBC,0.001891727,15,0.052828252,0.359962843,0.130747768,34,29,0.325123153
n432,Mobile Application Experiences Part 4: Understanding Use,Computer Science,01/08/2016,1~50,Introductory,MIT,MIT,0.001280892,9,0.065249347,0.373134328,0.130408843,37,21,0.347619048
n292,Introduction to Probability - The Science of Uncertainty,Data Analysis & Statistics,11/24/2015,Closed,Introductory,MIT,MIT,0.001073794,7,0.072177145,0.353558394,0.130224492,16,15,0.247619048
n752,Effective Field Theory,Physics,06/04/2014,Free,Introductory,MIT,MIT,0.001262479,10,0.04386295,0.371702638,0.130005287,19,19,0.251461988
n415,Introduction to Risk Management,Economics & Finance,03/04/2016,51~100,Intermediate,new-york Institute of Finance,new-york Institute of Finance,0.002364076,6,0.153590732,0.380088279,0.127841792,61,45,0.397979798
n614,Atomic and Optical Physics I? Part 1: Resonance,Physics,08/19/2015,Closed,Introductory,MIT,MIT,0.002132466,8,0.094447247,0.355504587,0.127389435,53,36,0.444444444
n309,The Challenges of Global Poverty,Economics & Finance,12/28/2015,Closed,Intermediate,MIT,MIT,0.001360845,9,0.059225883,0.370105062,0.12734888,22,22,0.316017316
n424,Data Analysis: Visualization and Dashboard Design,Data Analysis & Statistics,12/21/2015,51~100,Introductory,Delft,Delft,0.002589912,7,0.747636203,0.423497268,0.127024007,73,61,0.556830601
n563,AP¢ç Physics 2 - Part 2: Electricity and Magnetism,Physics,08/04/2015,Closed,Introductory,Rice,Rice,0.002115152,8,0.123810535,0.368871966,0.126709584,56,38,0.483641536
